receiving_country,year,confucius_institutes,sister_cities_established,government_visits,military_visits,total_elite_visits,ambassador_op_eds,journalist_visits,media_partnerships,outbound_chinese_students,inbound_students_to_china
Australia,2000,0,8,46,8,54,0,0,0,5008,0
Australia,2001,0,1,49,5,54,0,0,0,0,0
Australia,2002,0,1,15,3,18,0,0,0,17343,1001
Australia,2003,0,5,13,6,19,0,0,0,23448,918
Australia,2004,0,3,9,4,13,0,0,2,28309,1159
Australia,2005,0,3,20,4,24,0,0,0,37344,1591
Australia,2006,1,4,14,1,15,0,0,0,42008,1420
Australia,2007,2,4,7,4,11,0,0,0,50418,1464
Australia,2008,1,3,21,1,22,0,0,0,57596,2083
Australia,2009,2,3,23,4,27,0,0,0,70357,1874
Australia,2010,2,0,18,4,22,0,0,0,87588,2892
Australia,2011,4,4,25,5,30,0,0,2,90175,3330
Australia,2012,1,6,21,5,26,0,0,0,87497,3246
Australia,2013,0,4,16,5,21,2,0,0,87980,3446
Australia,2014,0,4,13,9,22,2,0,0,90245,4721
Australia,2015,1,5,9,3,12,3,0,0,97387,4411
Australia,2016,0,5,0,0,0,2,0,0,112329,4796
Brunei,2000,0,0,4,0,4,0,0,0,13,0
Brunei,2001,0,0,14,0,14,0,0,0,0,0
Brunei,2002,0,0,7,1,8,0,0,0,0,4
Brunei,2003,0,0,3,1,4,0,0,0,0,4
Brunei,2004,0,0,7,2,9,0,0,0,3,6
Brunei,2005,0,0,3,0,3,0,1,0,6,7
Brunei,2006,0,0,11,0,11,0,0,0,5,10
Brunei,2007,0,0,3,1,4,0,0,0,5,13
Brunei,2008,0,0,6,2,8,0,0,0,7,36
Brunei,2009,0,0,6,3,9,0,1,0,13,22
Brunei,2010,0,0,6,0,6,1,0,0,7,31
Brunei,2011,0,1,5,2,7,0,0,0,1,36
Brunei,2012,0,0,5,1,6,0,0,0,4,44
Brunei,2013,0,0,6,0,6,0,0,0,0,29
Brunei,2014,0,0,3,1,4,1,0,0,14,87
Brunei,2015,0,0,5,0,5,1,0,0,3,62
Brunei,2016,0,0,0,0,0,0,0,0,1,70
Cambodia,2000,0,0,14,3,17,0,0,0,0,0
Cambodia,2001,0,0,17,1,18,0,0,0,3,0
Cambodia,2002,0,0,2,1,3,0,0,0,20,151
Cambodia,2003,0,0,5,1,6,0,0,0,0,139
Cambodia,2004,0,0,7,2,9,0,0,0,0,180
Cambodia,2005,0,0,26,0,26,0,1,0,0,188
Cambodia,2006,0,1,15,1,16,0,0,0,0,221
Cambodia,2007,0,3,14,2,16,0,0,0,0,225
Cambodia,2008,0,2,10,2,12,0,1,0,0,299
Cambodia,2009,1,1,14,1,15,0,1,0,0,406
Cambodia,2010,0,1,14,2,16,0,0,0,0,502
Cambodia,2011,0,2,11,0,11,0,0,0,0,775
Cambodia,2012,0,0,14,1,15,0,1,0,0,1336
Cambodia,2013,0,1,8,2,10,0,0,0,0,1390
Cambodia,2014,0,4,10,0,10,1,0,1,0,1446
Cambodia,2015,0,0,16,0,16,0,0,0,0,1829
Cambodia,2016,0,3,0,0,0,0,0,2,0,2250
Fiji,2000,0,0,4,3,7,0,0,0,0,0
Fiji,2001,0,0,7,0,7,0,0,0,0,0
Fiji,2002,0,0,7,1,8,0,0,0,0,5
Fiji,2003,0,0,4,0,4,0,0,0,0,9
Fiji,2004,0,0,2,0,2,0,0,0,11,5
Fiji,2005,0,0,7,2,9,0,0,0,0,7
Fiji,2006,0,0,9,0,9,0,0,0,0,24
Fiji,2007,0,0,4,0,4,0,0,0,0,29
Fiji,2008,0,0,6,0,6,0,0,0,8,41
Fiji,2009,0,0,4,0,4,0,0,0,0,56
Fiji,2010,0,1,10,0,10,0,0,0,0,60
Fiji,2011,0,1,12,0,12,0,0,0,0,82
Fiji,2012,1,0,12,0,12,0,0,0,0,107
Fiji,2013,0,0,5,3,8,0,0,0,0,117
Fiji,2014,0,1,5,0,5,1,0,0,0,145
Fiji,2015,0,0,4,2,6,0,0,0,0,155
Fiji,2016,0,0,0,0,0,1,0,0,0,179
Indonesia,2000,0,0,15,3,18,0,0,1,0,0
Indonesia,2001,0,0,29,1,30,0,0,1,0,0
Indonesia,2002,0,3,9,2,11,0,0,0,0,2583
Indonesia,2003,0,2,14,4,18,0,0,0,0,2563
Indonesia,2004,0,0,6,1,7,0,1,0,0,3750
Indonesia,2005,0,2,10,0,10,0,1,0,130,4616
Indonesia,2006,0,2,14,2,16,0,0,0,210,5652
Indonesia,2007,0,0,11,4,15,0,0,2,177,6590
Indonesia,2008,0,1,11,0,11,0,1,0,120,7084
Indonesia,2009,0,1,3,1,4,0,1,0,0,7926
Indonesia,2010,1,0,9,2,11,0,0,0,245,27539
Indonesia,2011,5,3,8,2,10,0,0,0,0,10957
Indonesia,2012,0,2,5,0,5,0,1,0,0,13144
Indonesia,2013,0,1,7,1,8,0,0,0,0,13492
Indonesia,2014,0,1,9,0,9,0,0,2,0,13689
Indonesia,2015,0,1,9,2,11,0,0,0,573,12694
Indonesia,2016,0,1,0,0,0,2,0,6,579,14714
Japan,2000,0,10,36,5,41,0,0,0,28076,0
Japan,2001,0,7,24,3,27,0,0,0,31955,0
Japan,2002,0,14,10,0,10,0,1,0,41180,16084
Japan,2003,0,3,8,3,11,0,1,0,51656,12765
Japan,2004,0,15,9,2,11,0,2,0,76130,19059
Japan,2005,1,7,12,1,13,0,1,0,83264,18874
Japan,2006,4,12,8,0,8,0,1,0,86378,18363
Japan,2007,4,6,10,2,12,0,3,0,80231,18640
Japan,2008,2,5,1,4,5,0,1,0,77916,16733
Japan,2009,0,5,15,4,19,0,0,1,79394,15409
Japan,2010,1,6,14,1,15,0,0,0,86553,16808
Japan,2011,0,8,10,3,13,0,1,0,94382,17961
Japan,2012,1,6,6,0,6,0,0,1,96592,21126
Japan,2013,0,2,4,0,4,1,0,0,89788,17226
Japan,2014,0,1,13,0,13,1,0,0,85226,15057
Japan,2015,0,1,13,0,13,0,1,0,79175,14085
Japan,2016,1,0,0,0,0,1,0,10,76537,13595
Kiribati,2000,0,0,6,0,6,0,0,0,0,0
Kiribati,2001,0,0,3,0,3,0,0,0,0,0
Kiribati,2002,0,0,8,0,8,0,0,0,0,10
Kiribati,2003,0,0,0,0,0,0,0,0,0,0
Kiribati,2004,0,0,0,0,0,0,0,0,0,0
Kiribati,2005,0,0,0,0,0,0,0,0,0,0
Kiribati,2006,0,0,0,0,0,0,0,0,0,0
Kiribati,2007,0,0,0,0,0,0,0,0,0,0
Kiribati,2008,0,0,0,0,0,0,0,0,0,0
Kiribati,2009,0,0,0,0,0,0,0,0,0,0
Kiribati,2010,0,0,0,0,0,0,0,0,0,0
Kiribati,2011,0,0,0,0,0,0,0,0,0,0
Kiribati,2012,0,0,0,0,0,0,0,0,0,0
Kiribati,2013,0,0,0,0,0,0,0,0,0,0
Kiribati,2014,0,0,0,0,0,0,0,0,0,0
Kiribati,2015,0,0,0,0,0,0,0,0,0,0
Kiribati,2016,0,0,0,0,0,0,0,0,0,13
Laos,2000,0,0,21,6,27,0,0,0,0,0
Laos,2001,0,0,29,3,32,0,0,0,10,0
Laos,2002,0,1,2,0,2,0,0,0,2,333
Laos,2003,0,0,6,0,6,0,0,0,3,403
Laos,2004,0,0,9,0,9,0,0,0,27,509
Laos,2005,0,0,6,0,6,0,1,0,21,569
Laos,2006,0,0,5,1,6,0,0,0,21,833
Laos,2007,0,0,8,1,9,0,0,0,22,943
Laos,2008,0,1,7,0,7,0,1,0,23,1161
Laos,2009,0,1,9,0,9,0,1,0,142,1557
Laos,2010,1,1,13,1,14,0,0,0,155,1859
Laos,2011,0,1,10,0,10,0,0,0,196,2395
Laos,2012,0,1,4,1,5,0,0,0,87,2773
Laos,2013,0,0,6,0,6,0,0,0,34,3999
Laos,2014,0,3,5,0,5,1,0,0,87,5040
Laos,2015,0,4,4,1,5,3,0,0,91,6918
Laos,2016,0,1,0,0,0,1,0,1,105,9907
Malaysia,2000,0,0,17,5,22,0,0,0,5976,0
Malaysia,2001,0,0,20,1,21,0,0,0,4837,0
Malaysia,2002,0,0,6,2,8,0,0,0,10849,840
Malaysia,2003,0,0,6,1,7,0,0,0,10447,841
Malaysia,2004,0,2,14,2,16,0,1,0,5494,1241
Malaysia,2005,0,1,5,0,5,0,0,0,0,1589
Malaysia,2006,0,1,2,2,4,0,0,0,5507,1743
Malaysia,2007,0,0,6,0,6,0,0,0,5810,1908
Malaysia,2008,0,1,5,0,5,0,1,0,5618,2114
Malaysia,2009,0,1,2,1,3,0,0,0,7076,2792
Malaysia,2010,0,2,7,0,7,0,0,1,7621,3885
Malaysia,2011,0,11,6,1,7,0,0,0,6484,4259
Malaysia,2012,1,10,11,0,11,0,0,0,6033,6045
Malaysia,2013,0,2,6,0,6,0,0,0,0,6126
Malaysia,2014,0,2,9,0,9,0,0,2,9031,6645
Malaysia,2015,1,4,8,0,8,0,0,0,9560,6650
Malaysia,2016,0,2,0,0,0,2,0,4,10899,6880
Micronesia,2000,0,1,2,0,2,0,0,0,0,0
Micronesia,2001,0,0,0,0,0,0,0,0,0,0
Micronesia,2002,0,0,3,0,3,0,0,0,0,0
Micronesia,2003,0,0,2,0,2,0,0,0,0,4
Micronesia,2004,0,0,5,0,5,0,0,0,0,0
Micronesia,2005,0,0,6,0,6,0,0,0,0,5
Micronesia,2006,0,0,7,0,7,0,0,0,0,21
Micronesia,2007,0,0,6,0,6,0,0,0,0,30
Micronesia,2008,0,0,5,0,5,0,0,0,0,53
Micronesia,2009,0,0,5,0,5,0,0,0,0,54
Micronesia,2010,0,0,8,0,8,0,0,0,0,54
Micronesia,2011,0,2,6,0,6,0,0,0,0,47
Micronesia,2012,0,0,4,0,4,0,0,0,0,38
Micronesia,2013,0,0,2,0,2,0,0,0,0,36
Micronesia,2014,0,0,6,0,6,1,0,0,0,37
Micronesia,2015,0,0,7,0,7,0,0,0,0,58
Micronesia,2016,0,0,0,0,0,0,0,0,0,14
Mongolia,2000,0,2,7,4,11,0,0,0,35,0
Mongolia,2001,0,0,8,3,11,0,0,0,41,0
Mongolia,2002,0,0,4,0,4,0,0,0,0,968
Mongolia,2003,0,1,2,0,2,0,0,0,91,1060
Mongolia,2004,0,1,3,0,3,0,0,0,129,1333
Mongolia,2005,0,0,5,0,5,0,0,0,204,1956
Mongolia,2006,0,1,8,0,8,0,0,0,236,2715
Mongolia,2007,1,1,8,1,9,0,0,0,302,3618
Mongolia,2008,0,0,8,1,9,0,0,0,406,4774
Mongolia,2009,0,2,9,2,11,0,0,0,374,5684
Mongolia,2010,0,0,9,2,11,0,0,0,331,6211
Mongolia,2011,0,0,7,0,7,0,0,0,317,7112
Mongolia,2012,0,2,5,0,5,0,1,0,336,8210
Mongolia,2013,0,2,8,0,8,0,0,0,357,8054
Mongolia,2014,0,5,8,0,8,0,2,0,449,7920
Mongolia,2015,2,6,8,0,8,0,0,0,561,7428
Mongolia,2016,0,4,0,0,0,2,1,0,837,8508
Myanmar,2000,0,0,22,2,24,0,0,0,0,0
Myanmar,2001,0,1,14,2,16,0,0,0,0,0
Myanmar,2002,0,0,0,0,0,0,0,0,0,232
Myanmar,2003,0,0,9,0,9,0,0,0,0,232
Myanmar,2004,0,0,8,0,8,0,0,0,0,397
Myanmar,2005,0,0,14,0,14,0,1,0,0,494
Myanmar,2006,0,0,16,1,17,0,0,0,0,538
Myanmar,2007,0,0,5,0,5,0,0,0,18,645
Myanmar,2008,0,1,6,1,7,0,1,0,0,652
Myanmar,2009,0,1,5,0,5,0,1,0,0,1026
Myanmar,2010,0,1,3,0,3,0,0,0,0,972
Myanmar,2011,0,0,4,0,4,0,0,0,43,1529
Myanmar,2012,0,1,6,0,6,0,1,0,0,1872
Myanmar,2013,0,0,4,0,4,0,1,0,0,2299
Myanmar,2014,0,1,15,0,15,1,0,1,0,2317
Myanmar,2015,0,0,7,0,7,1,0,0,0,4733
Myanmar,2016,0,0,0,0,0,0,0,0,0,5662
Nauru,2000,0,0,0,0,0,0,0,0,0,0
Nauru,2001,0,0,0,0,0,0,0,0,0,0
Nauru,2002,0,0,5,0,5,0,0,0,0,2
Nauru,2003,0,0,1,0,1,0,0,0,0,2
Nauru,2004,0,0,5,0,5,0,0,0,0,2
Nauru,2005,0,0,0,0,0,0,0,0,0,0
Nauru,2006,0,0,0,0,0,0,0,0,0,0
Nauru,2007,0,0,0,0,0,0,0,0,0,0
Nauru,2008,0,0,0,0,0,0,0,0,0,0
Nauru,2009,0,0,0,0,0,0,0,0,0,0
Nauru,2010,0,0,0,0,0,0,0,0,0,0
Nauru,2011,0,0,0,0,0,0,0,0,0,0
Nauru,2012,0,0,0,0,0,0,0,0,0,0
Nauru,2013,0,0,0,0,0,0,0,0,0,0
Nauru,2014,0,0,0,2,2,0,0,0,0,0
Nauru,2015,0,0,0,0,0,0,0,0,0,0
Nauru,2016,0,0,0,0,0,0,0,0,0,2
New Zealand,2000,0,3,41,4,45,0,0,0,1133,0
New Zealand,2001,0,0,57,4,61,0,0,0,3338,0
New Zealand,2002,0,0,13,4,17,0,0,0,8481,97
New Zealand,2003,0,1,7,4,11,0,0,0,16479,117
New Zealand,2004,0,1,13,2,15,0,0,0,24215,127
New Zealand,2005,0,1,7,4,11,0,0,0,23260,159
New Zealand,2006,0,3,13,3,16,0,0,0,0,195
New Zealand,2007,1,0,13,3,16,0,0,0,13535,240
New Zealand,2008,0,3,7,2,9,0,0,0,9859,359
New Zealand,2009,0,1,11,4,15,0,0,0,9016,445
New Zealand,2010,2,1,10,6,16,0,0,2,9061,443
New Zealand,2011,0,1,12,4,16,0,0,0,10327,569
New Zealand,2012,0,0,11,3,14,0,0,0,11337,610
New Zealand,2013,0,1,13,3,16,0,0,0,12219,751
New Zealand,2014,0,2,13,3,16,0,0,0,13952,845
New Zealand,2015,0,1,12,4,16,0,0,0,15009,754
New Zealand,2016,0,2,0,0,0,1,0,1,16626,895
North Korea,2000,0,0,14,4,18,0,0,0,0,0
North Korea,2001,0,0,15,3,18,0,0,0,0,0
North Korea,2002,0,0,2,0,2,0,0,0,0,671
North Korea,2003,0,1,7,1,8,0,0,0,0,638
North Korea,2004,0,0,5,0,5,0,0,0,0,626
North Korea,2005,0,0,5,0,5,0,0,0,0,756
North Korea,2006,0,0,7,1,8,0,0,0,0,715
North Korea,2007,0,0,5,0,5,0,1,0,0,877
North Korea,2008,0,0,4,0,4,0,0,0,0,760
North Korea,2009,0,0,8,2,10,0,1,0,450,865
North Korea,2010,0,0,12,1,13,0,0,0,0,1154
North Korea,2011,0,0,10,1,11,0,1,0,0,1435
North Korea,2012,0,1,6,0,6,0,0,0,0,1535
North Korea,2013,0,0,4,0,4,0,0,0,0,1671
North Korea,2014,0,0,3,0,3,0,0,0,0,1680
North Korea,2015,0,0,3,0,3,1,0,0,0,1878
North Korea,2016,0,0,0,0,0,0,0,0,0,1829
Papua New Guinea,2000,0,0,7,2,9,0,0,0,0,0
Papua New Guinea,2001,0,0,8,1,9,0,0,0,0,0
Papua New Guinea,2002,0,0,4,1,5,0,0,0,0,2
Papua New Guinea,2003,0,0,8,0,8,0,0,0,0,5
Papua New Guinea,2004,0,0,8,0,8,0,0,0,0,4
Papua New Guinea,2005,0,0,9,1,10,0,0,0,0,9
Papua New Guinea,2006,0,1,10,0,10,0,0,0,0,16
Papua New Guinea,2007,0,0,3,0,3,0,0,0,0,30
Papua New Guinea,2008,0,0,4,0,4,0,0,0,0,69
Papua New Guinea,2009,0,0,6,2,8,0,1,0,0,81
Papua New Guinea,2010,0,0,7,1,8,0,0,0,0,98
Papua New Guinea,2011,0,0,9,0,9,0,0,0,0,106
Papua New Guinea,2012,0,0,4,0,4,0,0,0,0,113
Papua New Guinea,2013,0,0,6,0,6,1,0,0,0,144
Papua New Guinea,2014,0,0,5,0,5,0,0,0,0,210
Papua New Guinea,2015,0,0,2,0,2,0,0,0,0,287
Papua New Guinea,2016,0,0,0,0,0,0,0,0,0,348
Philippines,2000,0,1,7,2,9,0,0,0,0,0
Philippines,2001,0,0,13,1,14,0,0,0,568,0
Philippines,2002,0,2,4,3,7,0,0,0,672,638
Philippines,2003,0,1,11,1,12,0,0,0,1088,602
Philippines,2004,0,3,9,2,11,0,0,0,851,1375
Philippines,2005,0,2,11,2,13,0,1,0,1227,2176
Philippines,2006,1,1,19,3,22,0,0,0,1050,1512
Philippines,2007,0,5,25,2,27,0,0,0,0,1335
Philippines,2008,1,0,0,0,0,0,2,1,550,2362
Philippines,2009,0,1,7,1,8,0,1,0,0,2273
Philippines,2010,0,1,6,0,6,0,0,0,0,2989
Philippines,2011,1,2,4,1,5,0,0,0,0,2662
Philippines,2012,0,0,8,0,8,0,0,0,0,2642
Philippines,2013,0,0,2,1,3,0,0,0,0,2917
Philippines,2014,0,0,1,0,1,0,0,0,0,2929
Philippines,2015,1,0,2,0,2,0,0,0,0,3343
Philippines,2016,0,2,0,0,0,0,1,4,0,3061
Samoa,2000,0,0,6,0,6,0,0,0,0,0
Samoa,2001,0,0,4,0,4,0,0,0,0,0
Samoa,2002,0,0,6,0,6,0,0,0,0,7
Samoa,2003,0,0,4,0,4,0,0,0,0,8
Samoa,2004,0,0,9,0,9,0,0,0,0,9
Samoa,2005,0,0,7,0,7,0,0,0,0,9
Samoa,2006,0,0,8,0,8,0,0,0,0,10
Samoa,2007,0,0,6,0,6,0,0,0,0,26
Samoa,2008,0,0,8,0,8,0,0,0,0,37
Samoa,2009,0,0,9,0,9,0,0,0,0,68
Samoa,2010,0,0,6,0,6,0,0,0,0,67
Samoa,2011,0,0,7,0,7,0,0,0,0,82
Samoa,2012,0,0,6,0,6,0,0,0,0,97
Samoa,2013,0,0,8,0,8,0,0,0,0,96
Samoa,2014,0,0,7,0,7,0,0,0,0,113
Samoa,2015,0,1,6,0,6,1,0,0,0,129
Samoa,2016,0,0,0,0,0,7,0,0,0,177
Singapore,2000,0,0,28,2,30,0,0,0,0,0
Singapore,2001,0,0,16,2,18,0,0,0,0,0
Singapore,2002,0,0,3,1,4,0,0,0,0,583
Singapore,2003,0,0,4,0,4,0,0,0,0,551
Singapore,2004,0,0,4,0,4,0,0,0,0,929
Singapore,2005,0,0,4,0,4,0,1,0,0,1322
Singapore,2006,1,0,9,1,10,0,0,0,0,1392
Singapore,2007,0,0,15,0,15,0,0,0,0,1480
Singapore,2008,0,0,9,1,10,0,2,0,0,2155
Singapore,2009,0,0,16,0,16,0,1,0,0,3198
Singapore,2010,0,0,17,0,17,0,0,0,0,3608
Singapore,2011,0,0,6,1,7,0,0,0,0,4483
Singapore,2012,0,0,5,2,7,0,0,0,0,4250
Singapore,2013,0,0,7,3,10,0,0,0,0,5290
Singapore,2014,0,0,9,0,9,0,0,0,0,5031
Singapore,2015,0,0,9,2,11,1,0,0,0,4865
Singapore,2016,0,0,0,0,0,4,0,1,0,4983
South Korea,2000,0,8,19,3,22,0,0,0,1182,0
South Korea,2001,0,4,26,7,33,0,0,0,1645,0
South Korea,2002,0,2,6,0,6,0,0,0,2407,36093
South Korea,2003,0,9,11,0,11,0,0,0,4025,35363
South Korea,2004,1,3,8,0,8,0,1,0,6462,43617
South Korea,2005,0,8,8,0,8,0,2,0,10093,54079
South Korea,2006,3,6,6,1,7,0,1,0,15288,57504
South Korea,2007,7,11,7,1,8,0,0,3,23097,64481
South Korea,2008,1,4,14,0,14,0,1,0,30552,66806
South Korea,2009,4,9,13,0,13,0,1,0,39309,64232
South Korea,2010,0,4,13,0,13,0,0,0,45757,62957
South Korea,2011,1,5,11,1,12,0,1,0,47477,62442
South Korea,2012,1,13,14,0,14,1,2,0,43698,63488
South Korea,2013,0,12,12,1,13,0,1,0,38109,63029
South Korea,2014,2,8,9,0,9,0,1,0,34145,62923
South Korea,2015,1,12,6,1,7,1,1,1,34513,66672
South Korea,2016,1,12,0,0,0,0,1,2,38568,70540
Thailand,2000,0,0,19,3,22,0,0,0,0,0
Thailand,2001,0,1,23,4,27,0,0,0,543,0
Thailand,2002,0,2,14,0,14,0,0,0,944,1149
Thailand,2003,0,0,16,0,16,0,1,0,0,1554
Thailand,2004,0,2,14,1,15,0,0,0,1186,2371
Thailand,2005,0,5,22,1,23,0,1,0,1189,3594
Thailand,2006,8,1,15,4,19,0,0,0,1615,5522
Thailand,2007,3,1,7,5,12,0,0,0,2698,7306
Thailand,2008,0,4,8,3,11,0,1,0,4206,8476
Thailand,2009,1,2,15,7,22,0,1,0,7301,11379
Thailand,2010,0,1,12,2,14,0,0,0,8993,13177
Thailand,2011,0,4,6,0,6,0,0,0,9329,14145
Thailand,2012,0,0,13,1,14,0,0,1,8444,16675
Thailand,2013,0,2,15,0,15,0,0,2,0,20106
Thailand,2014,0,1,10,0,10,3,0,4,0,21296
Thailand,2015,1,2,15,2,17,0,0,0,4544,19976
Thailand,2016,1,1,0,0,0,0,0,4,5305,23044
Timor-Leste,2000,0,0,0,0,0,0,0,0,0,0
Timor-Leste,2001,0,0,0,0,0,0,0,0,0,0
Timor-Leste,2002,0,0,1,2,3,0,0,0,0,0
Timor-Leste,2003,0,0,5,0,5,0,0,0,0,0
Timor-Leste,2004,0,0,7,0,7,0,0,0,0,0
Timor-Leste,2005,0,0,3,0,3,0,0,0,0,0
Timor-Leste,2006,0,0,2,0,2,0,0,0,0,3
Timor-Leste,2007,0,0,0,0,0,0,0,0,0,6
Timor-Leste,2008,0,0,4,0,4,0,0,0,0,20
Timor-Leste,2009,0,0,3,0,3,0,0,0,0,23
Timor-Leste,2010,0,0,5,0,5,1,0,0,0,27
Timor-Leste,2011,0,0,4,1,5,2,0,0,0,0
Timor-Leste,2012,0,0,2,0,2,2,0,0,0,37
Timor-Leste,2013,0,0,1,0,1,1,0,0,0,46
Timor-Leste,2014,0,0,2,1,3,0,0,0,0,66
Timor-Leste,2015,0,0,6,1,7,1,0,0,0,135
Timor-Leste,2016,0,0,0,0,0,0,0,0,0,152
Tonga,2000,0,0,4,1,5,0,0,0,0,0
Tonga,2001,0,0,5,2,7,0,0,0,0,0
Tonga,2002,0,0,10,0,10,0,0,0,0,3
Tonga,2003,0,0,4,0,4,0,0,0,0,7
Tonga,2004,0,0,8,0,8,0,0,0,0,9
Tonga,2005,0,0,11,0,11,0,0,0,0,14
Tonga,2006,0,0,6,0,6,0,0,0,0,31
Tonga,2007,0,0,9,0,9,0,0,0,0,46
Tonga,2008,0,0,6,1,7,0,0,0,0,73
Tonga,2009,0,0,3,0,3,0,0,0,0,90
Tonga,2010,0,0,5,0,5,0,0,0,0,100
Tonga,2011,0,0,4,0,4,0,0,0,0,107
Tonga,2012,0,0,5,1,6,0,0,0,0,101
Tonga,2013,0,0,5,1,6,1,0,0,0,94
Tonga,2014,0,1,5,0,5,2,0,0,0,103
Tonga,2015,0,0,5,3,8,2,0,0,0,100
Tonga,2016,0,0,0,0,0,1,0,0,0,105
Vanuatu,2000,0,0,5,0,5,0,0,0,0,0
Vanuatu,2001,0,0,7,0,7,0,0,0,0,0
Vanuatu,2002,0,0,3,0,3,0,0,0,0,0
Vanuatu,2003,0,0,6,0,6,0,0,0,0,0
Vanuatu,2004,0,0,7,0,7,0,0,0,0,3
Vanuatu,2005,0,0,10,0,10,0,0,0,0,2
Vanuatu,2006,0,0,13,0,13,0,0,0,0,5
Vanuatu,2007,0,0,11,0,11,0,0,0,0,10
Vanuatu,2008,0,0,9,0,9,0,0,0,0,18
Vanuatu,2009,0,0,9,0,9,0,0,0,0,25
Vanuatu,2010,0,0,12,1,13,0,0,0,0,27
Vanuatu,2011,0,0,8,0,8,0,0,0,0,33
Vanuatu,2012,0,0,3,0,3,0,0,0,0,42
Vanuatu,2013,0,0,5,1,6,5,0,0,0,33
Vanuatu,2014,0,1,6,0,6,0,0,0,0,50
Vanuatu,2015,0,0,4,1,5,0,0,0,0,73
Vanuatu,2016,0,0,0,0,0,0,0,0,0,158
Vietnam,2000,0,0,50,5,55,0,0,0,0,0
Vietnam,2001,0,3,77,9,86,0,0,0,26,0
Vietnam,2002,0,0,8,0,8,0,0,0,46,2336
Vietnam,2003,0,0,8,1,9,0,0,0,2,3487
Vietnam,2004,0,1,8,0,8,0,0,0,0,4382
Vietnam,2005,0,1,5,1,6,0,1,0,102,5842
Vietnam,2006,0,2,6,1,7,0,0,0,0,7310
Vietnam,2007,0,2,9,0,9,0,0,0,445,9702
Vietnam,2008,0,2,10,1,11,0,1,0,303,10396
Vietnam,2009,0,2,11,2,13,0,1,0,0,12247
Vietnam,2010,0,4,11,0,11,0,0,0,612,13018
Vietnam,2011,0,2,8,1,9,0,0,0,902,13549
Vietnam,2012,0,1,14,0,14,0,0,0,440,13038
Vietnam,2013,0,5,9,1,10,0,0,0,388,12799
Vietnam,2014,0,0,14,0,14,0,0,0,274,10658
Vietnam,2015,0,4,13,3,16,0,0,0,281,10031
Vietnam,2016,0,1,0,0,0,0,0,0,131,10639
