iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
LCA,2017,0.6216,36.861,10003.2598650984
LCN,2008,NA,NA,7951.52838902874
LCN,2012,NA,NA,10177.5629651185
LCN,2017,NA,NA,9397.62070912358
LDC,2008,NA,NA,735.284413570415
LDC,2012,NA,NA,940.308857628177
LDC,2017,NA,NA,1092.65396589394
LIC,2008,NA,NA,597.422347932578
LIC,2012,NA,NA,733.24722953866
LIC,2017,NA,NA,766.517216376315
LIE,2008,NA,NA,143255.981619193
LIE,2012,NA,NA,149010.224898665
LIE,2017,NA,NA,NA
LKA,2008,16.3208,35,2037.32210302668
LKA,2012,35.7359,52.219,3350.52187589289
LKA,2017,50.142,56.967,4104.63098320435
LMC,2008,NA,NA,1366.37700201687
LMC,2012,NA,NA,1907.16161491627
LMC,2017,NA,NA,2187.49882855239
LMY,2008,NA,NA,3110.29393360563
LMY,2012,NA,NA,4404.94673532867
LMY,2017,NA,NA,4743.06386199689
LSO,2008,0.7,37.42,884.962674751359
LSO,2012,0.8772,32.75,1329.27497081723
LSO,2017,0.9357,36.137,1232.78691893924
LTE,2008,NA,NA,5406.47792530949
LTE,2012,NA,NA,7976.08038533614
LTE,2017,NA,NA,8943.25320963468
LTU,2008,32.0008,66.553,14961.5681759187
LTU,2012,NA,NA,14341.1816279932
LTU,2017,NA,NA,16809.6482569674
LUX,2008,NA,NA,114293.84332087
LUX,2012,NA,NA,106749.013622989
LUX,2017,NA,NA,104498.738671031
LVA,2008,42.0335,117.605,16348.53120679
LVA,2012,NA,NA,13822.8055940347
LVA,2017,NA,NA,15684.558518649
MAC,2008,NA,NA,40597.5574823323
MAC,2012,NA,NA,76291.8474900231
MAC,2017,NA,NA,81208.882074735
MAF,2008,NA,NA,NA
MAF,2012,NA,NA,NA
MAF,2017,NA,NA,NA
MAR,2008,20.9569,22.655,2890.36008322739
MAR,2012,33.8508,34.448,2912.65827494029
MAR,2017,49.7522,45.344,3036.17106160684
MCO,2008,NA,NA,185721.794154104
MCO,2012,NA,NA,157515.899069445
MCO,2017,NA,NA,166726.051925682
MDA,2008,3.7245,61.513,1695.97281114375
MDA,2012,5.3201,61.086,2446.7253157714
MDA,2017,6.9737,72.119,2724.49309280928
MDG,2008,2.4797,26.343,470.733159841242
MDG,2012,2.9304,29.541,443.904749321728
MDG,2017,4.147196,36.1,448.400796541908
MDV,2008,1.1475,50.514,6614.15914742089
MDV,2012,0.89,30.837,7265.61365556669
MDV,2017,1.3648,28.05,9801.62454193575
MEA,2008,NA,NA,7160.39369853687
MEA,2012,NA,NA,8895.13543791559
MEA,2017,NA,NA,7422.02790339989
MEX,2008,197.6719,17.843,10016.5713043884
MEX,2012,349.2694,29.117,10241.7279153745
MEX,2017,455.0581,39.313,9281.10148290743
MEXI,2008,NA,NA,NA
MEXI,2012,NA,NA,NA
MEXI,2017,NA,NA,NA
MEX_Mont,2008,NA,NA,NA
MEX_Mont,2012,NA,NA,NA
MEX_Mont,2017,NA,NA,NA
MHL,2008,NA,NA,2719.91846761847
MHL,2012,NA,NA,3265.52003808382
MHL,2017,NA,NA,3516.7143201626
MIC,2008,NA,NA,3382.12475971778
MIC,2012,NA,NA,4823.5332016916
MIC,2017,NA,NA,5229.03176445357
MKD,2008,4.3375,43.771,4793.44366858209
MKD,2012,6.4694,66.385,4698.14129350594
MKD,2017,8.5655,75.939,5417.64201944282
MLI,2008,2.0554,21.099,690.88243975853
MLI,2012,3.0591,24.585,778.669462492053
MLI,2017,4.3679,28.471,828.613220238384
MLT,2008,NA,NA,21928.7006740562
MLT,2012,NA,NA,21931.7476232751
MLT,2017,NA,NA,27241.0906440045
MMR,2008,8.6418,33.4,638.149059869843
MMR,2012,11.2787,18.5,1165.79432896131
MMR,2017,16.1384,24.051,1249.82875661238
MNA,2008,NA,NA,3847.27374567882
MNA,2012,NA,NA,5010.58188418024
MNA,2017,NA,NA,3817.68617419562
MNE,2008,NA,NA,7367.75190910882
MNE,2012,NA,NA,6586.7212793222
MNE,2017,NA,NA,7784.06528996557
MNG,2008,2.1838,38.346,2136.56321364601
MNG,2012,15.5671,126.636,4351.8869200565
MNG,2017,28.199,246.802,3671.94841892492
MNP,2008,NA,NA,17189.9313501144
MNP,2012,NA,NA,13827.7696967465
MNP,2017,NA,NA,28163.7848732364
MOZ,2008,3.4893,30.355,516.005095814733
MOZ,2012,5.4899,35.998,613.984066002961
MOZ,2017,12.0099,94.9,441.61783689092
MRT,2008,2.0053,49.746,1222.92391157219
MRT,2012,3.3141,63.352,1411.35283025415
MRT,2017,4.2308,85.034,1161.78545671604
MSR,2008,NA,NA,NA
MSR,2012,NA,NA,NA
MSR,2017,NA,NA,NA
MTQ,2008,NA,NA,NA
MTQ,2012,NA,NA,NA
MTQ,2017,NA,NA,NA
MUS,2008,4.2048,42.089,8030.06300537304
MUS,2012,10.1112,86.652,9291.22761861899
MUS,2017,21.064,158.862,10484.9083620411
MWI,2008,0.9946,18.692,387.605975305468
MWI,2012,1.329,22.045,391.561832360636
MWI,2017,2.228,35.347,356.717573153369
MYS,2008,106.896,44.216,8474.57582207634
MYS,2012,196.86399,61.627,10817.4428742856
MYS,2017,217.92661,68.325,10117.569032569
MYT,2008,NA,NA,NA
MYT,2012,NA,NA,NA
MYT,2017,NA,NA,NA
NAC,2008,NA,NA,48215.1117887716
NAC,2012,NA,NA,51703.2673378574
NAC,2017,NA,NA,58434.030875745
NAM,2008,1.913756,22.55,4153.24793794677
NAM,2012,4.629793,35.569,5930.54847260768
NAM,2017,7.025181,51.744,5646.45600733184
NCL,2008,NA,NA,NA
NCL,2012,NA,NA,NA
NCL,2017,NA,NA,NA
NER,2008,0.9615,17.81,352.719974948162
NER,2012,2.3554,33.928,390.119909653729
NER,2017,3.7457,45.6,375.869489673522
NFK,2008,NA,NA,NA
NFK,2012,NA,NA,NA
NFK,2017,NA,NA,NA
NGA,2008,13.1289,3.975,2242.8718855369402
NGA,2012,18.1274,3.933,2746.99178858383
NGA,2017,40.2385,10.708,1968.55958830544
NGA_Kano,2008,NA,NA,NA
NGA_Kano,2012,NA,NA,NA
NGA_Kano,2017,NA,NA,NA
NIC,2008,4.7183,55.529,1499.26207183019
NIC,2012,8.8823,84.336,1760.46056961056
NIC,2017,11.4571,82.761,2168.19123997963
NIGE,2008,NA,NA,NA
NIGE,2012,NA,NA,NA
NIGE,2017,NA,NA,NA
NIU,2008,NA,NA,NA
NIU,2012,NA,NA,NA
NIU,2017,NA,NA,NA
NLD,2008,NA,NA,57644.4799749353
NLD,2012,NA,NA,50073.0056559308
NLD,2017,NA,NA,48482.766210439
NOR,2008,NA,NA,97007.9418918692
NOR,2012,NA,NA,101668.170658652
NOR,2017,NA,NA,75704.2486981247
NPL,2008,3.6976,29.41,470.455547251206
NPL,2012,3.812,19.847,698.466479416086
NPL,2017,4.9635,19.782,900.57390358461
NRU,2008,NA,NA,3972.59410697201
NRU,2012,NA,NA,10101.9001734944
NRU,2017,NA,NA,8844.41714968444
NZL,2008,100.365912,74.1,31287.9436526473
NZL,2012,86.85276,49.6,39970.4400394577
NZL,2017,92.991483,46.4,42260.1251767853
OED,2008,NA,NA,37185.1325838296
OED,2012,NA,NA,38185.8504548049
OED,2017,NA,NA,38407.7692808778
OMN,2008,11.585762,19,22139.6404093693
OMN,2012,11.300077,14.7,21923.5480214797
OMN,2017,42.243738,59.7,15170.3517435517
OSS,2008,NA,NA,13162.2447138595
OSS,2012,NA,NA,15464.6514243882
OSS,2017,NA,NA,13422.2439405735
PAK,2008,49.5235,28.986,990.846599619906
PAK,2012,62.0665,27.661,1198.10900052752
PAK,2017,84.5228,27.752,1466.84309577722
PAKI,2008,NA,NA,NA
PAKI,2012,NA,NA,NA
PAKI,2017,NA,NA,NA
PAK_Laho,2008,NA,NA,NA
PAK_Laho,2012,NA,NA,NA
PAK_Laho,2017,NA,NA,NA
PAN,2008,44.8523,182.904,7154.274496019
PAN,2012,61.4812,153.877,10722.2836326295
PAN,2017,91.909566,148.6,15166.124432066
PCI,2008,NA,NA,NA
PCI,2012,NA,NA,NA
PCI,2017,NA,NA,NA
PCN,2008,NA,NA,NA
PCN,2012,NA,NA,NA
PCN,2017,NA,NA,NA
PCZ,2008,NA,NA,NA
PCZ,2012,NA,NA,NA
PCZ,2017,NA,NA,NA
PER,2008,34.7197,28.51,4220.61696939508
PER,2012,61.6269,31.952,6528.97221785312
PER,2017,68.0834,31.783,6700.81138040492
PHL,2008,58.2697,33.486,1916.29670770475
PHL,2012,69.3717,27.771,2572.62942497398
PHL,2017,73.0797,23.326,2981.93415144162
PLW,2008,NA,33.925,10524.9839606501
PLW,2012,NA,32.201,12168.2823129252
PLW,2017,NA,29.462,16274.9045372866
PNG,2008,1.4364,17.955,1672.92755236636
PNG,2012,14.9224,96.764,2790.69958745011
PNG,2017,17.3667,88.1,2640.153572462
POL,2008,218.0224,40.843,14001.4468819804
POL,2012,238.766,47.719,13145.5392627865
POL,2017,242.56,46.07,13861.0515579074
PRE,2008,NA,NA,1375.91700433107
PRE,2012,NA,NA,1684.11632873211
PRE,2017,NA,NA,1457.87669385646
PRI,2008,NA,NA,24898.3345857045
PRI,2012,NA,NA,27944.7338937424
PRI,2017,NA,NA,31353.4341794183
PRK,2008,NA,NA,NA
PRK,2012,NA,NA,NA
PRK,2017,NA,NA,NA
PRT,2008,462.35,175.766,24815.6088356622
PRT,2012,NA,NA,20577.4026375899
PRT,2017,NA,NA,21291.430881308
PRY,2008,12.5199,50.941,4041.58387643025
PRY,2012,16.045775,48.21,5183.08287691315
PRY,2017,16.063462,41.262,5680.58076826353
PSE,2008,NA,NA,1857.89051544595
PSE,2012,NA,NA,2834.02152463393
PSE,2017,NA,NA,3254.48588658763
PSS,2008,NA,NA,3038.82895659624
PSS,2012,NA,NA,3591.8513785863
PSS,2017,NA,NA,4080.52619674354
PST,2008,NA,NA,40604.5517540191
PST,2012,NA,NA,42071.3082246591
PST,2017,NA,NA,42724.0824887603
PYF,2008,NA,NA,NA
PYF,2012,NA,NA,NA
PYF,2017,NA,NA,NA
QAT,2008,57.1,50.1,80234.4700713492
QAT,2012,132.378246,70.9,85076.1479273998
QAT,2017,165.013329,98.9,61264.3964777979
REU,2008,NA,NA,NA
REU,2012,NA,NA,NA
REU,2017,NA,NA,NA
ROM,2008,NA,NA,NA
ROM,2012,NA,NA,NA
ROM,2017,NA,NA,NA
ROU,2008,99.4474,46.402,10435.0439841037
ROU,2012,120.8257,70.577,8535.0468756267
ROU,2017,109.3541,51.727,10792.9562796666
RUS,2008,419.2812,23.651,11635.2742379959
RUS,2012,591.7954,26.961,15434.5747807082
RUS,2017,492.7633,31.238,10750.5871197198
RUSS,2008,NA,NA,NA
RUSS,2012,NA,NA,NA
RUSS,2017,NA,NA,NA
RUS_Sai,2008,NA,NA,NA
RUS_Sai,2012,NA,NA,NA
RUS_Sai,2017,NA,NA,NA
RWA,2008,0.6889,14.153,511.054951282142
RWA,2012,1.2625,17.212,695.274082936241
RWA,2017,3.3381,36.54,762.499163641385
SAS,2008,NA,NA,959.480312650733
SAS,2012,NA,NA,1364.44160182409
SAS,2017,NA,NA,1867.27224804395
SAU,2008,79.302319,15.3,20078.2577898075
SAU,2012,139.821053,19,25243.3586984024
SAU,2017,206.931898,30.1,20803.7425657324
SCG,2008,NA,NA,NA
SCG,2012,NA,NA,NA
SCG,2017,NA,NA,NA
SDN,2008,33.535745,61.5,1304.5330505517
SDN,2012,43.256663,63.5,1882.24677012331
SDN,2017,56.111445,45.6,3015.02442975186
SEN,2008,2.851,16.836,1411.92933206721
SEN,2012,4.9057,27.52,1330.0574481376
SEN,2017,8.886,42.146,1367.21894802796
SER,2008,NA,NA,NA
SER,2012,NA,NA,NA
SER,2017,NA,NA,NA
SGP,2008,281.55864,145.42,40007.469261214
SGP,2012,436.41406,147.89,55546.4885386921
SGP,2017,589.41763,174.178,60297.7937806208
SGS,2008,NA,NA,NA
SGS,2012,NA,NA,NA
SGS,2017,NA,NA,NA
SHN,2008,NA,NA,NA
SHN,2012,NA,NA,NA
SHN,2017,NA,NA,NA
SLB,2008,0.167,27.454,1208.33861780089
SLB,2012,0.2281,21.44,1913.23202227315
SLB,2017,0.3501,26.859,2077.12603765032
SLE,2008,0.6338,25.297,408.48074207499
SLE,2012,1.3342,35.093,566.378656937493
SLE,2017,1.7313,46.297,499.38070781976
SLV,2008,10.6885,59.41,2933.39505564793
SLV,2012,13.5419,63.307,3428.41038595699
SLV,2017,16.6989,67.019,3902.23762163591
SMR,2008,NA,NA,90435.2702983167
SMR,2012,NA,NA,56068.4345458956
SMR,2017,NA,NA,48494.5514112427
SOM,2008,2.9842,33.5,NA
SOM,2012,3.0688,68.7,NA
SOM,2017,2.958,41.9,488.583306503977
SPM,2008,NA,NA,NA
SPM,2012,NA,NA,NA
SPM,2017,NA,NA,NA
SRB,2008,NA,NA,7101.04014116862
SRB,2012,NA,NA,6015.94522756969
SRB,2017,NA,NA,6284.192671588
SSA,2008,NA,NA,1469.02351506206
SSA,2012,NA,NA,1781.42506295342
SSA,2017,NA,NA,1597.68272667085
SSD,2008,NA,NA,1779.81513649913
SSD,2012,NA,NA,1025.22992539902
SSD,2017,NA,NA,NA
SSF,2008,NA,NA,1470.0435606606
SSF,2012,NA,NA,1782.40854267659
SSF,2017,NA,NA,1598.96809517926
SST,2008,NA,NA,11881.8211441537
SST,2012,NA,NA,13672.58755587
SST,2017,NA,NA,12125.1629561174
STP,2008,0.1317,67.491,1098.76793385822
STP,2012,0.2016,76.283,1340.52650698418
STP,2017,0.262,68.6,1811.00963265499
SUN,2008,NA,NA,NA
SUN,2012,NA,NA,NA
SUN,2017,NA,NA,NA
SUR,2008,0.6434,NA,6831.95632109552
SUR,2012,0.8108,NA,9201.00878530056
SUR,2017,1.7,NA,5379.11941495353
SVK,2008,41.83072,41.5,18650.3591154107
SVK,2012,NA,NA,17274.6423040509
SVK,2017,NA,NA,17579.2593991421
SVN,2008,NA,NA,27501.8102703687
SVN,2012,NA,NA,22532.4356384588
SVN,2017,NA,NA,23449.5745165237
SWE,2008,NA,NA,55814.0163915596
SWE,2012,NA,NA,57197.1993076414
SWE,2017,NA,NA,53253.4766411192
SWZ,2008,0.4751,14.419,3137.3962304768
SWZ,2012,0.4644,9.619,4469.45732419562
SWZ,2017,0.651,14.649,3941.90045658669
SXM,2008,NA,NA,NA
SXM,2012,NA,NA,NA
SXM,2017,NA,NA,NA
SYC,2008,1.502,155.294,11122.8620677142
SYC,2012,2.0235,190.987,12006.68296237
SYC,2017,2.947162,196.1,15683.6564988559
SYR,2008,5.3891,10.255,NA
SYR,2012,4.7489,11.8,NA
SYR,2017,4.948593,41.8,NA
TCA,2008,NA,NA,27648.3440164092
TCA,2012,NA,NA,21009.8858098984
TCA,2017,NA,NA,25933.6074363465
TCD,2008,1.8024,17.427,925.636084270572
TCD,2012,2.3613,19.091,967.408125988873
TCD,2017,3.1386,31.459,664.303315726258
TEA,2008,NA,NA,3122.69452862567
TEA,2012,NA,NA,5432.98087599952
TEA,2017,NA,NA,7156.32031869716
TEC,2008,NA,NA,8950.18409352014
TEC,2012,NA,NA,10356.8665672757
TEC,2017,NA,NA,8516.29187660813
TGO,2008,1.6416,49.636,544.147523365142
TGO,2012,0.7468,19.279,571.839428880573
TGO,2017,1.6314,34.227,619.066370987019
THA,2008,66.6188,22.843,4379.65987744628
THA,2012,134.2567,33.792,5860.58061021939
THA,2017,129.765,28.493,6578.18886493522
TJK,2008,2.497,48.379,715.86511053556
TJK,2012,4.6159,60.473,969.296473144289
TJK,2017,5.8814,82.167,806.041573098044
TKL,2008,NA,NA,NA
TKL,2012,NA,NA,NA
TKL,2017,NA,NA,NA
TKM,2008,0.7387,4.341,3904.46371937896
TKM,2012,0.5039,2.1,6675.18565772239
TKM,2017,0.7814,1.7,6587.09031628698
TLA,2008,NA,NA,7848.96834631135
TLA,2012,NA,NA,10102.2956283774
TLA,2017,NA,NA,9253.66648399388
TLS,2008,NA,NA,4160.73443470993
TLS,2012,NA,NA,5879.69978194615
TLS,2017,NA,NA,2000.60119103569
TMN,2008,NA,NA,3870.00691280143
TMN,2012,NA,NA,5036.02618689012
TMN,2017,NA,NA,3823.83320020438
TMP,2008,NA,NA,NA
TMP,2012,NA,NA,NA
TMP,2017,NA,NA,NA
TON,2008,0.0988,28.89,3380.61335096516
TON,2012,0.1973,42.376,4597.74230534531
TON,2017,0.1689,39.561,4217.47650679527
TSA,2008,NA,NA,959.480312650733
TSA,2012,NA,NA,1364.44160182409
TSA,2017,NA,NA,1867.27224804395
TSS,2008,NA,NA,1470.0435606606
TSS,2012,NA,NA,1782.40854267659
TSS,2017,NA,NA,1598.96809517926
TTO,2008,3.952764,14.2,21204.1049703496
TTO,2012,4.932323,19.2,19161.9599135545
TTO,2017,9.503735,43,16076.0820382225
TUN,2008,21.3809,47.683,4307.15587838971
TUN,2012,25.2614,56.081,4152.67858707583
TUN,2017,32.152,80.47,3494.31886448228
TUR,2008,290.5717,38.024,10854.1722530827
TUR,2012,338.8273,38.841,11707.2597122125
TUR,2017,454.725,53.519,10499.7455731688
TUV,2008,NA,NA,2936.85963326875
TUV,2012,NA,NA,3507.93691138349
TUV,2017,NA,NA,3572.60836706326
TWN,2008,90.361,21.668,NA
TWN,2012,130.821,26.38,NA
TWN,2017,181.938,31.648,NA
TZA,2008,6.0102,21.633,687.390445540348
TZA,2012,11.5852,29.218,867.867680563228
TZA,2017,18.2423,34.27,1004.84112066441
UGA,2008,2.2977,12.624,467.900570300656
UGA,2012,3.7799,15.462,668.832461950198
UGA,2017,11.1888,41.264,631.522719792278
UKR,2008,99.3544,55.253,3887.24141243583
UKR,2012,133.5142,75.955,3855.4212801318
UKR,2017,113.2811,100.972,2640.67567655839
UMC,2008,NA,NA,5514.1904732831
UMC,2012,NA,NA,8009.52557126235
UMC,2017,NA,NA,8663.27388957464
UMI,2008,NA,NA,NA
UMI,2012,NA,NA,NA
UMI,2017,NA,NA,NA
URY,2008,11.5228,37.946,9091.0790391692
URY,2012,36.1615,70.5,15171.5846634188
URY,2017,41.402119,69.5,16437.2448692778
US,2008,NA,NA,NA
US,2012,NA,NA,NA
US,2017,NA,NA,NA
USA,2008,NA,NA,48382.5584490552
USA,2012,NA,NA,51603.4972614412
USA,2017,NA,NA,59927.9298339535
USA_Losa,2008,NA,NA,NA
USA_Losa,2012,NA,NA,NA
USA_Losa,2017,NA,NA,NA
UVK,2008,NA,NA,NA
UVK,2012,NA,NA,NA
UVK,2017,NA,NA,NA
UZB,2008,5.0706,17.173,1082.28602501699
UZB,2012,9.1191,17.6,1740.4682979775
UZB,2017,17.7076,36.2,1826.56703999223
VAT,2008,NA,NA,NA
VAT,2012,NA,NA,NA
VAT,2017,NA,NA,NA
VCT,2008,0.2322,33.389,6415.80961733554
VCT,2012,0.288,41.563,6390.31438871896
VCT,2017,0.337,42.918,7149.63086622199
VDR,2008,NA,NA,NA
VDR,2012,NA,NA,NA
VDR,2017,NA,NA,NA
VEN,2008,66.9301,21.207,11432.7438562616
VEN,2012,130.6299,34.258,12985.5053251065
VEN,2017,105.5984,76,NA
VGB,2008,NA,NA,NA
VGB,2012,NA,NA,NA
VGB,2017,NA,NA,NA
VIR,2008,NA,NA,39207.0037546472
VIR,2012,NA,NA,37849.7287205036
VIR,2017,NA,NA,35938.0243875154
VNM,2008,26.4355,26.893,1149.4246418463
VNM,2012,61.5767,39.577,1735.14127643805
VNM,2017,104.0795,47.207,2365.62166567374
VUT,2008,0.1488,24.475,2705.59765800081
VUT,2012,0.1818,23.257,3133.09020920348
VUT,2017,0.3926,46.204,2976.1071160324
WBG,2008,NA,NA,NA
WBG,2012,NA,NA,NA
WBG,2017,NA,NA,NA
WLD,2008,NA,NA,9413.60305402282
WLD,2012,NA,NA,10589.2267194676
WLD,2017,NA,NA,10768.9633561707
WLF,2008,NA,NA,NA
WLF,2012,NA,NA,NA
WLF,2017,NA,NA,NA
WSM,2008,0.2074,33.491,3514.79834383995
WSM,2012,0.4229,52.586,4237.01462989779
WSM,2017,0.4431,53.044,4307.80546397731
XKX,2008,NA,NA,3254.82026926105
XKX,2012,NA,NA,3600.6734751938902
XKX,2017,NA,NA,3948.08815032105
XTI,2008,NA,NA,NA
XTI,2012,NA,NA,NA
XTI,2017,NA,NA,NA
YEM,2008,6.2287,23.146,1229.24684321745
YEM,2012,7.7482,21.892,1446.53628022096
YEM,2017,7.1862,28,963.494720967854
YMD,2008,NA,NA,NA
YMD,2012,NA,NA,NA
YMD,2017,NA,NA,NA
YUG,2008,NA,NA,NA
YUG,2012,NA,NA,NA
YUG,2017,NA,NA,NA
ZAF,2008,69.9599,24.389,5760.80528723832
ZAF,2012,144.959,36.545,7501.37861403795
ZAF,2017,176.3345,50.406,6120.5068002413
ZAR,2008,NA,NA,NA
ZAR,2012,NA,NA,NA
ZAR,2017,NA,NA,NA
ZMB,2008,3.0797,17.191,1394.00060846687
ZMB,2012,5.857,22.966,1763.09418353303
ZMB,2017,16.3125,63.192,1534.86537052245
ZWE,2008,5.7129,129.377,356.693349652722
ZWE,2012,8.6589,50.593,1304.96980167411
ZWE,2017,9.3302,42.331,1602.40350699048
